invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,Cluster
51159,3843,0,67,3,3,15.69,0,404,4,1
73658,18398,0,36,0,4,60.6,0,155,4,1
10359,74047,1,64,1,5,1500.4,1,790,5,0
33424,89028,0,33,1,1,300.08,2,492,4,0
34098,78832,0,33,1,4,1200.32,1,672,4,0
17880,7273,1,66,1,4,1200.32,0,703,5,2
36947,39010,0,29,2,4,162.64,2,788,7,2
25321,6074,1,22,7,3,107.52,0,230,5,2
32687,22863,0,24,5,5,58.65,2,137,3,2
4787,8388,0,24,2,5,203.3,0,505,6,2
47212,80792,0,47,2,4,162.64,0,661,4,0
60012,3098,1,38,3,5,26.15,0,357,5,1
50124,49511,1,67,7,3,107.52,0,719,1,1
89876,31235,0,40,1,5,1500.4,2,217,4,1
5006,11156,0,69,4,4,2400.68,0,661,6,2
28239,84974,0,47,3,5,26.15,0,329,5,0
65356,3650,0,53,3,4,20.92,1,145,3,1
64259,87638,1,40,7,2,71.68,0,6,1,3
69216,82593,1,60,2,4,162.64,1,692,6,3
16080,21454,1,30,5,2,23.46,0,450,4,2
75020,21799,0,66,1,2,600.16,1,770,3,1
46584,18201,1,22,3,1,5.23,0,239,5,2
39802,82986,1,53,3,2,10.46,0,374,4,0
12701,37050,0,52,1,5,1500.4,0,178,9,2
2645,48152,1,66,3,1,5.23,0,737,5,2
29800,99182,1,65,1,4,1200.32,2,368,7,0
59207,84159,0,43,6,2,2100.0,0,383,4,3
89238,17851,0,59,7,1,35.84,2,574,4,1
67740,24381,0,30,5,5,58.65,2,559,4,1
36081,93307,0,25,2,2,81.32,2,208,6,0
17002,92449,0,29,7,3,107.52,2,590,5,0
61517,25962,1,62,1,5,1500.4,1,635,7,1
16854,83552,1,39,3,3,15.69,0,794,2,0
57074,57344,0,33,1,3,900.24,0,629,4,3
94628,25642,0,26,3,4,20.92,2,653,5,1
29096,44587,0,40,3,3,15.69,2,417,4,2
98948,70391,1,55,1,4,1200.32,1,420,4,3
31255,65172,0,24,1,5,1500.4,1,149,8,0
48926,16431,1,24,2,1,40.66,0,646,6,2
92021,3724,0,30,3,5,26.15,1,691,6,1
38752,32629,1,34,1,5,1500.4,1,10,5,2
74672,96055,0,57,1,5,1500.4,0,359,5,3
60305,20860,1,18,2,4,162.64,1,86,3,1
15572,55108,0,26,1,4,1200.32,0,356,9,0
3058,57243,0,19,3,3,15.69,2,747,1,0
62322,92948,0,22,0,3,45.45,0,388,4,3
18021,72515,1,48,1,1,300.08,0,268,4,0
67754,71027,0,56,5,5,58.65,0,282,3,3
14854,64692,1,35,1,2,600.16,0,80,8,0
55589,95247,0,60,7,4,143.36,2,736,6,3
10808,3977,0,32,1,1,300.08,1,159,2,2
68947,54746,1,27,1,4,1200.32,1,58,4,3
89915,31199,0,56,1,2,600.16,1,359,3,1
13271,99348,1,35,2,4,162.64,2,605,6,0
38321,9929,0,68,1,1,300.08,1,416,7,2
20195,48491,0,64,6,2,2100.0,0,604,4,2
10458,53754,0,60,7,4,143.36,0,736,2,0
55190,90909,1,64,7,5,179.2,2,344,4,3
54294,95480,0,41,1,3,900.24,2,486,1,3
91207,81758,1,30,3,5,26.15,0,181,6,3
31819,7963,1,40,1,1,300.08,2,317,5,2
37314,86859,0,29,1,2,600.16,0,747,4,0
18781,68672,1,25,1,3,900.24,0,24,5,0
2118,15823,0,60,1,4,1200.32,0,795,4,2
9359,93913,0,42,3,5,26.15,0,464,6,0
90099,46906,1,54,3,1,5.23,0,155,7,1
17794,31540,0,50,1,5,1500.4,0,326,4,2
63797,51263,1,54,1,1,300.08,2,732,7,3
90748,87047,0,45,0,4,60.6,0,670,6,3
62682,10719,0,40,2,1,40.66,1,454,9,1
16157,65995,1,24,0,3,45.45,1,94,6,0
86821,86609,1,40,1,4,1200.32,0,207,5,3
7141,99075,0,32,6,2,2100.0,1,343,7,0
42586,7328,0,28,1,3,900.24,0,490,5,2
45924,28914,0,22,7,1,35.84,0,260,5,2
75919,13585,0,21,1,1,300.08,1,280,6,1
35932,38554,0,31,1,2,600.16,1,11,4,2
36190,65509,0,61,3,3,15.69,1,667,5,0
45594,42592,0,67,2,2,81.32,0,544,4,2
49908,38450,1,44,1,4,1200.32,1,83,7,1
33166,59493,0,48,3,2,10.46,1,541,4,0
31683,75153,0,53,3,3,15.69,0,99,6,0
21259,92793,1,27,7,4,143.36,0,592,5,0
64745,78645,0,28,2,4,162.64,0,477,8,3
12901,13613,1,54,5,5,58.65,1,68,4,2
59334,900,1,41,3,5,26.15,1,386,4,1
14802,75138,0,59,2,5,203.3,0,338,3,0
69913,9865,0,32,1,1,300.08,1,216,7,1
57899,29517,0,41,5,5,58.65,1,405,7,1
10705,93932,1,22,1,1,300.08,2,612,3,0
23855,94940,0,23,3,2,10.46,1,628,8,0
21244,63783,1,40,7,2,71.68,0,318,4,0
38056,98683,1,37,1,5,1500.4,0,782,1,0
20172,3710,0,24,1,1,300.08,0,424,5,2
26305,23763,1,22,3,1,5.23,1,461,4,2
59306,18769,0,61,2,4,162.64,0,360,4,1
77966,84690,0,25,3,2,10.46,1,533,6,3
84753,88160,0,66,5,5,58.65,1,676,9,3
49270,49817,0,59,4,1,600.17,0,666,4,0
49953,33855,1,38,1,4,1200.32,0,191,7,1
21892,45048,1,34,7,2,71.68,2,475,6,2
85590,825,0,26,1,1,300.08,0,320,4,1
13586,45082,0,59,5,5,58.65,0,168,6,2
55681,19519,0,53,7,1,35.84,2,623,5,1
77473,76480,1,23,2,4,162.64,2,290,8,3
44925,96223,0,23,1,5,1500.4,1,595,8,0
20363,85355,0,56,2,4,162.64,0,363,5,0
71346,53522,0,38,5,2,23.46,1,88,7,3
46154,71853,0,44,3,1,5.23,0,593,7,0
3913,45239,0,26,3,4,20.92,0,134,5,2
68302,12369,0,41,2,4,162.64,1,172,8,1
49414,37635,1,50,1,4,1200.32,0,99,8,2
73185,66108,0,23,2,3,121.98,0,272,5,3
30589,84131,0,31,2,4,162.64,0,110,7,0
65767,38135,1,26,2,5,203.3,1,519,2,1
77704,81545,0,56,3,3,15.69,0,299,8,3
9738,49379,0,34,7,4,143.36,0,203,4,2
15521,21413,0,29,1,2,600.16,0,641,4,2
17536,19182,0,20,1,1,300.08,1,55,5,2
61080,20709,0,54,2,3,121.98,1,764,2,1
48513,22823,1,40,1,4,1200.32,2,428,6,2
74280,69215,1,40,2,5,203.3,0,235,3,3
37656,9778,1,21,0,4,60.6,0,380,5,2
82162,82026,0,32,6,2,2100.0,0,463,9,3
37244,52248,1,47,1,3,900.24,1,51,6,0
91979,25536,1,33,2,5,203.3,0,128,4,1
15999,47073,0,67,5,2,23.46,1,137,5,2
58120,69848,1,37,2,3,121.98,0,407,3,3
77339,47146,0,38,7,1,35.84,0,430,7,1
14971,19735,0,38,0,1,15.15,1,218,4,2
81210,83220,0,56,2,1,40.66,1,397,4,3
45519,58717,1,25,0,3,45.45,2,684,7,0
20200,99214,1,66,0,5,75.75,0,630,4,0
84953,65042,0,37,5,2,23.46,1,796,8,3
75201,43397,0,19,3,2,10.46,0,641,5,1
16211,87345,0,53,1,5,1500.4,0,608,4,0
39318,22264,0,69,4,1,600.17,0,432,4,2
89798,94001,1,69,1,5,1500.4,0,166,7,3
95488,43785,0,31,3,2,10.46,2,462,7,1
8700,87130,1,39,0,5,75.75,0,434,4,0
18895,62092,1,26,2,2,81.32,0,673,7,0
91098,26086,1,63,3,3,15.69,0,779,2,1
12355,67766,0,34,1,5,1500.4,0,134,5,0
59803,83170,1,25,3,1,5.23,2,224,4,3
92111,87030,0,20,4,3,1800.51,0,571,7,3
41252,82697,0,18,1,4,1200.32,2,385,7,0
52395,57872,1,53,2,4,162.64,1,508,4,3
82016,84048,1,46,2,4,162.64,0,582,5,3
75593,31037,0,34,1,1,300.08,1,559,3,1
20497,33354,0,61,1,3,900.24,0,752,7,2
21549,89391,0,38,1,5,1500.4,1,76,5,0
3589,79201,0,67,3,3,15.69,0,123,7,0
27219,21507,1,33,7,4,143.36,1,507,3,2
15142,85329,0,63,1,4,1200.32,2,725,9,0
66607,346,0,41,2,4,162.64,2,679,4,1
77474,76385,1,27,6,1,1050.0,2,599,4,3
17181,29915,0,22,7,5,179.2,1,365,4,2
32408,85567,0,54,1,4,1200.32,1,421,7,0
36884,59602,0,51,7,1,35.84,0,276,6,0
30741,56795,0,29,1,1,300.08,2,159,7,0
78397,93149,0,44,4,2,1200.34,1,81,4,3
32439,47589,0,20,4,3,1800.51,1,669,4,2
75877,86448,0,59,4,2,1200.34,0,406,6,3
96390,46978,0,23,1,4,1200.32,1,608,7,1
20436,40872,0,25,1,1,300.08,1,6,1,2
90746,44828,1,63,4,1,600.17,0,517,4,1
92838,32765,1,21,1,5,1500.4,2,357,4,1
36029,94578,1,39,2,2,81.32,1,660,4,0
11475,59027,1,50,3,2,10.46,1,15,5,0
6616,75147,0,54,4,4,2400.68,2,767,5,0
86121,92529,1,56,1,5,1500.4,1,444,1,3
82966,76477,0,53,1,4,1200.32,0,388,7,3
43371,17301,0,62,2,3,121.98,1,128,8,2
89258,39105,0,42,1,4,1200.32,1,102,4,1
75595,86013,0,68,7,2,71.68,1,254,6,3
69303,20545,1,27,1,4,1200.32,0,763,5,1
23753,88799,1,39,2,4,162.64,0,611,8,0
47350,94084,1,44,7,3,107.52,2,274,4,0
98152,26316,0,52,1,3,900.24,2,182,1,1
73231,41741,0,19,2,2,81.32,0,569,5,1
98958,53407,1,22,0,5,75.75,0,195,1,3
38808,69405,1,61,4,1,600.17,0,726,1,0
43508,2972,1,23,3,3,15.69,1,211,4,2
17594,1191,1,34,2,5,203.3,2,315,6,2
18298,8269,0,33,5,2,23.46,2,629,6,2
98871,21807,0,60,4,1,600.17,1,613,7,1
6246,69506,0,24,3,1,5.23,2,706,9,0
68668,35106,1,53,2,5,203.3,2,154,5,1
10421,63067,1,22,1,3,900.24,1,421,6,0
47462,38154,1,50,5,4,46.92,0,454,6,2
25872,68542,1,49,1,2,600.16,1,372,6,0
1988,51232,1,31,1,1,300.08,2,391,5,0
43820,87137,0,52,3,1,5.23,1,253,4,0
57055,22569,0,67,2,2,81.32,0,239,3,1
87527,15777,0,50,3,2,10.46,0,117,7,1
93158,54640,0,58,7,5,179.2,0,605,5,3
44477,44563,0,50,1,4,1200.32,2,476,7,2
33884,29543,0,68,6,2,2100.0,1,511,4,2
12289,47750,0,59,5,2,23.46,1,706,1,2
24090,65698,0,66,1,5,1500.4,0,646,2,0
51161,73931,1,69,5,4,46.92,0,483,9,3
23388,70748,1,27,3,5,26.15,0,459,5,0
27139,12120,0,52,7,1,35.84,1,279,9,2
33504,61669,0,27,1,2,600.16,0,31,3,0
28447,38109,0,43,6,2,2100.0,1,552,2,2
18562,1556,1,36,1,1,300.08,0,791,1,2
35889,93141,0,19,5,1,11.73,0,445,4,0
42258,52358,1,21,0,5,75.75,0,155,6,0
56596,9469,1,20,1,1,300.08,0,662,4,1
11228,65841,0,23,7,2,71.68,2,148,7,0
97369,75830,0,52,2,2,81.32,0,581,6,3
13408,34055,1,24,1,4,1200.32,1,571,4,2
63836,3465,0,20,3,5,26.15,1,670,7,1
10407,99439,1,58,7,3,107.52,1,144,9,0
36134,61696,1,21,1,4,1200.32,2,121,5,0
46010,461,1,35,4,2,1200.34,0,54,3,2
39643,55784,0,29,2,3,121.98,0,390,4,0
10397,72228,1,68,2,2,81.32,1,645,2,0
82667,57340,0,50,2,3,121.98,2,370,1,3
81882,94123,0,44,7,3,107.52,0,149,4,3
36455,53121,0,48,5,4,46.92,0,289,6,0
67845,11229,0,39,7,1,35.84,1,415,5,1
4953,52101,1,27,1,1,300.08,0,29,4,0
39798,71725,0,34,4,4,2400.68,0,28,8,0
43089,64382,0,65,3,1,5.23,0,714,4,0
97293,52548,0,53,2,2,81.32,0,266,3,3
61994,365,0,19,3,3,15.69,1,557,4,1
21817,20582,0,19,1,2,600.16,0,21,3,2
26091,74956,0,31,3,1,5.23,1,727,6,0
9651,1228,1,42,1,3,900.24,1,607,6,2
30937,50315,1,58,0,4,60.6,1,425,4,0
62552,33746,0,34,2,3,121.98,2,228,3,1
19390,32619,0,32,2,2,81.32,2,628,3,2
62096,59630,1,27,5,4,46.92,1,363,4,3
89164,89575,0,28,3,2,10.46,1,662,4,3
60263,66448,1,55,2,3,121.98,1,238,4,3
99296,49952,0,48,5,3,35.19,0,346,7,1
64514,84936,0,46,3,4,20.92,1,313,5,3
54389,68240,0,20,7,3,107.52,0,195,7,3
64055,98980,1,39,7,3,107.52,1,472,5,3
38668,42605,1,44,1,5,1500.4,1,22,5,2
5523,16959,1,48,2,5,203.3,1,411,1,2
29845,58731,0,22,1,1,300.08,1,769,4,0
68685,60823,1,45,1,5,1500.4,2,255,6,3
74685,91808,1,64,1,4,1200.32,1,172,5,3
12332,92139,1,38,5,5,58.65,1,626,5,0
70461,14003,0,45,4,2,1200.34,0,390,4,1
72656,50288,0,41,5,5,58.65,0,543,7,3
98599,87301,0,57,2,1,40.66,0,117,2,3
78109,73311,1,57,3,4,20.92,2,463,4,3
66303,67086,0,60,0,1,15.15,1,251,5,3
63815,7048,0,44,3,2,10.46,2,201,4,1
6963,55132,1,38,2,5,203.3,0,180,6,0
61601,55712,1,65,3,3,15.69,1,740,5,3
74855,58426,1,30,1,1,300.08,2,454,7,3
18933,71062,0,50,1,2,600.16,2,100,3,0
16830,81399,0,19,3,3,15.69,1,150,2,0
85295,79403,1,26,4,1,600.17,2,703,6,3
96131,49874,0,54,2,4,162.64,1,397,2,1
88751,89528,0,63,2,3,121.98,1,456,1,3
71462,56414,0,66,1,2,600.16,2,629,6,3
78228,90974,0,48,2,2,81.32,2,759,5,3
7333,40643,1,46,1,2,600.16,2,15,9,2
25773,43099,1,54,4,4,2400.68,0,109,4,2
77499,65356,1,62,0,5,75.75,0,170,8,3
81399,36493,0,64,7,3,107.52,1,276,5,1
98021,44220,1,55,3,3,15.69,0,22,6,1
62640,71723,1,41,7,5,179.2,1,54,3,3
22162,8310,1,54,3,5,26.15,1,671,3,2
40601,58833,1,34,1,1,300.08,0,348,7,0
67818,13467,0,31,1,1,300.08,0,32,7,1
17278,147,1,48,7,4,143.36,0,280,6,2
16027,50108,0,44,1,2,600.16,2,235,1,0
13809,34628,0,42,4,1,600.17,1,349,4,2
97997,95257,1,25,4,1,600.17,1,467,5,3
89813,97429,1,64,1,5,1500.4,0,777,4,3
47679,50783,0,55,1,2,600.16,0,265,9,0
48123,35196,0,62,4,3,1800.51,1,182,1,2
6576,32673,0,54,1,2,600.16,1,749,6,2
37479,19675,0,43,3,4,20.92,1,18,4,2
25278,6160,0,30,1,2,600.16,0,139,2,2
62827,50096,0,58,2,5,203.3,2,534,4,3
82263,34063,0,49,1,3,900.24,0,96,5,1
99418,69255,0,19,1,5,1500.4,2,521,5,3
70501,26068,0,58,3,1,5.23,2,199,4,1
31337,17436,0,49,3,2,10.46,1,675,4,2
74065,83540,0,50,6,1,1050.0,0,782,9,3
78725,80577,0,21,2,4,162.64,0,475,3,3
84211,64858,1,21,4,2,1200.34,0,214,5,3
28698,52209,1,63,2,5,203.3,1,768,4,0
63810,68252,1,30,5,2,23.46,1,758,2,3
17921,38838,0,23,3,4,20.92,0,390,5,2
84401,58338,0,69,1,1,300.08,0,103,6,3
37173,13914,0,45,4,4,2400.68,1,399,4,2
19572,77464,1,53,1,5,1500.4,1,60,1,0
42748,61866,0,50,0,1,15.15,0,570,3,0
36657,42601,0,47,3,3,15.69,2,36,2,2
35584,65507,0,36,1,1,300.08,2,43,6,0
62622,5154,0,61,3,3,15.69,0,703,7,1
19911,49901,0,46,7,4,143.36,1,551,5,0
14866,34906,0,38,1,5,1500.4,0,641,5,2
26932,63579,0,41,1,1,300.08,1,750,4,0
64977,57156,1,29,1,4,1200.32,0,219,3,3
24230,41761,0,58,2,3,121.98,1,196,4,2
18916,92628,0,53,2,4,162.64,0,652,7,0
64275,70417,1,26,3,1,5.23,0,256,6,3
43669,56872,1,53,3,1,5.23,0,203,5,0
39607,78606,0,63,1,4,1200.32,1,219,3,0
49372,21032,0,54,1,1,300.08,1,582,1,2
40864,66154,0,54,1,5,1500.4,2,180,2,0
78652,2328,1,45,5,2,23.46,1,559,3,1
70910,99193,0,62,7,4,143.36,1,223,4,3
26170,45876,0,18,1,1,300.08,1,757,8,2
89709,58083,1,50,1,1,300.08,0,24,7,3
68682,36626,1,31,1,5,1500.4,1,586,3,1
39929,12880,1,62,1,5,1500.4,0,362,9,2
35961,65990,0,20,1,5,1500.4,2,227,4,0
54860,61947,0,65,0,5,75.75,0,794,5,3
2302,34857,0,63,5,1,11.73,0,769,6,2
62855,56991,0,57,3,4,20.92,0,747,5,3
6151,41893,0,59,1,1,300.08,2,583,7,2
87605,73808,0,44,1,4,1200.32,2,494,9,3
51390,2279,0,63,2,5,203.3,1,110,7,1
27602,71087,0,68,1,1,300.08,0,470,3,0
82056,37146,0,21,3,2,10.46,2,667,7,1
16352,69519,0,33,0,5,75.75,1,678,5,0
9745,77524,0,23,5,2,23.46,0,502,6,0
15976,11841,0,49,5,5,58.65,0,363,5,2
86129,40549,1,57,4,2,1200.34,1,344,7,1
95240,64210,0,54,7,4,143.36,1,383,4,3
76656,7759,0,41,2,3,121.98,1,698,1,1
1431,3485,0,21,4,3,1800.51,0,450,4,2
96775,46612,0,45,7,1,35.84,2,675,4,1
51056,19586,0,58,4,3,1800.51,1,310,4,1
24130,72556,1,53,3,4,20.92,0,191,5,0
97304,60163,0,53,1,5,1500.4,1,582,1,3
69791,16892,1,39,3,5,26.15,2,708,4,1
45241,7843,0,21,4,1,600.17,0,673,5,2
84335,69126,0,51,7,1,35.84,1,8,5,3
43910,92304,1,50,1,2,600.16,2,207,1,0
93855,10814,0,50,2,4,162.64,0,692,5,1
9876,89550,1,61,3,3,15.69,0,751,4,0
47538,47650,1,44,3,5,26.15,1,395,5,2
83669,33990,0,31,5,4,46.92,2,718,3,1
53071,66100,1,64,3,1,5.23,1,135,4,3
60275,3063,1,50,1,2,600.16,1,325,8,1
25157,35846,1,45,1,1,300.08,1,177,3,2
83184,10961,0,33,1,1,300.08,0,776,5,1
89221,57677,1,29,3,2,10.46,0,773,5,3
78200,3010,0,66,1,1,300.08,0,719,6,1
68240,53270,1,54,2,3,121.98,1,411,3,3
73256,38038,1,46,7,5,179.2,0,657,4,1
83571,4711,1,37,3,5,26.15,0,408,7,1
64696,47943,0,22,3,5,26.15,1,76,6,1
11423,59760,0,55,2,4,162.64,0,310,5,0
29564,49416,1,41,6,2,2100.0,0,739,5,2
42458,38181,1,42,7,3,107.52,1,109,8,2
60986,34280,1,24,4,3,1800.51,1,230,9,1
80027,32335,0,43,2,4,162.64,0,154,6,1
159,35507,0,22,2,4,162.64,0,264,4,2
33024,39124,0,27,0,1,15.15,0,85,2,2
72663,18189,0,68,2,2,81.32,1,113,5,1
78620,45796,0,48,1,2,600.16,1,588,7,1
20691,30346,0,56,1,3,900.24,0,427,8,2
33477,97522,1,25,1,3,900.24,2,234,4,0
42623,4795,1,30,3,4,20.92,0,284,5,2
45504,52080,0,49,7,5,179.2,1,385,7,0
36425,6942,1,57,1,2,600.16,1,190,5,2
11597,89811,0,46,3,4,20.92,0,1,5,0
57515,8490,1,29,3,3,15.69,0,406,4,1
16916,20220,0,69,2,1,40.66,2,390,6,2
97648,46578,0,42,2,2,81.32,2,784,4,1
81017,202,0,38,7,1,35.84,1,318,4,1
47784,43945,0,46,1,2,600.16,2,153,6,2
81372,45760,1,31,2,3,121.98,2,393,7,1
90771,29855,1,26,1,5,1500.4,0,183,5,1
15589,30435,0,48,2,3,121.98,0,303,5,2
88549,51537,1,30,0,5,75.75,1,204,4,3
33849,62397,1,56,1,1,300.08,0,237,4,0
74049,99236,1,65,3,2,10.46,0,515,6,3
66146,74375,0,53,1,2,600.16,1,622,5,3
15839,23615,0,43,1,3,900.24,0,35,4,2
30415,46647,1,26,3,2,10.46,0,760,6,2
89545,78558,1,23,1,5,1500.4,2,687,6,3
94792,59444,0,54,4,4,2400.68,1,719,6,3
86108,29500,1,56,1,4,1200.32,0,534,4,1
16669,8685,0,37,7,2,71.68,0,656,5,2
93707,31948,1,48,1,3,900.24,2,458,5,1
17763,67404,1,56,3,2,10.46,2,134,1,0
89244,70033,0,58,5,2,23.46,0,537,4,3
62229,57155,0,40,3,3,15.69,1,796,4,3
575,50401,0,40,2,3,121.98,1,469,4,0
97387,41328,1,64,7,1,35.84,0,333,5,1
79374,89857,1,28,5,5,58.65,2,94,5,3
74466,7206,1,49,2,4,162.64,2,574,8,1
71505,40831,1,51,3,3,15.69,0,118,6,1
21302,92356,1,22,1,3,900.24,1,21,6,0
2708,71977,0,67,1,5,1500.4,2,766,8,0
6498,2411,0,22,7,2,71.68,1,297,3,2
46383,34365,0,26,1,3,900.24,0,33,5,2
57354,34636,0,42,7,1,35.84,2,2,3,1
35019,35188,0,45,0,1,15.15,1,695,1,2
3562,66897,0,43,1,1,300.08,1,785,4,0
40708,60397,0,35,2,2,81.32,2,628,4,0
9435,36388,1,49,1,3,900.24,1,174,8,2
37963,54068,0,49,3,3,15.69,0,434,6,0
17008,153,1,33,1,5,1500.4,0,419,5,2
18525,28141,0,65,3,2,10.46,0,144,7,2
35713,3722,1,40,5,4,46.92,0,670,7,2
35413,32555,1,68,6,2,2100.0,0,82,8,2
27064,56734,1,38,7,1,35.84,2,430,4,0
59669,34188,0,56,2,4,162.64,1,677,4,1
1092,41228,1,19,2,1,40.66,0,787,4,2
12682,60060,0,18,2,2,81.32,0,77,6,0
4842,67454,1,55,3,1,5.23,1,3,2,0
54256,59564,0,53,2,2,81.32,0,23,5,3
76764,39472,0,69,2,1,40.66,0,661,6,1
52681,85974,1,27,2,3,121.98,0,350,5,3
14513,5814,0,36,3,2,10.46,0,74,4,2
15072,86080,0,43,2,5,203.3,1,557,3,0
89668,65939,0,51,3,4,20.92,1,346,7,3
35541,6035,1,38,7,4,143.36,1,451,6,2
80362,40737,1,34,3,2,10.46,2,43,5,1
8215,30384,1,23,3,5,26.15,1,425,7,2
7,55983,1,56,3,4,20.92,1,281,9,0
51833,46241,1,60,3,4,20.92,1,164,5,1
81518,93450,0,59,5,4,46.92,0,441,6,3
5908,44383,1,43,1,1,300.08,1,355,4,2
66636,95525,1,55,0,4,60.6,0,551,6,3
38569,56578,1,40,1,3,900.24,0,495,6,0
48176,88531,0,43,3,2,10.46,1,342,7,0
54145,57067,1,59,3,4,20.92,1,695,1,3
8666,24951,1,24,0,5,75.75,2,86,4,2
95557,93594,0,63,1,5,1500.4,1,59,4,3
61056,25632,1,31,3,2,10.46,0,457,5,1
19514,90483,0,69,1,2,600.16,1,658,3,0
62544,57071,0,36,0,3,45.45,1,298,6,3
15510,783,0,54,1,3,900.24,0,598,4,2
97125,40534,1,22,3,3,15.69,0,266,3,1
44427,53192,1,39,3,1,5.23,0,379,6,0
89374,28533,1,26,2,3,121.98,2,204,7,1
62213,21024,1,44,4,2,1200.34,1,779,6,1
10757,68353,0,35,7,1,35.84,2,8,7,0
8956,327,0,66,4,1,600.17,2,715,5,2
60303,941,1,61,4,1,600.17,0,727,5,1
47361,83125,1,55,7,5,179.2,2,92,9,0
73158,99183,0,22,0,3,45.45,2,182,8,3
89316,24447,0,51,1,1,300.08,2,494,7,1
93728,34824,1,53,2,4,162.64,0,636,4,1
60152,12282,0,54,1,5,1500.4,1,505,8,1
40750,74898,1,34,1,2,600.16,1,266,1,0
40837,69538,0,49,1,1,300.08,1,301,4,0
66532,39562,0,41,5,4,46.92,0,522,4,1
33241,89008,0,34,1,1,300.08,1,273,4,0
76375,57777,0,20,3,2,10.46,0,576,3,3
68211,75691,0,23,1,5,1500.4,0,205,5,3
38273,67988,0,25,1,3,900.24,1,519,5,0
86532,17629,0,63,7,3,107.52,2,310,4,1
3504,80154,1,68,6,1,1050.0,1,487,5,0
47194,43895,1,58,4,1,600.17,2,1,5,2
5444,60443,1,47,1,1,300.08,1,55,3,0
43838,38232,0,22,1,5,1500.4,1,538,5,2
11006,9323,0,51,2,1,40.66,1,12,6,2
38154,64494,1,56,3,5,26.15,0,376,8,0
50960,67725,1,33,1,5,1500.4,0,783,4,3
11671,33107,1,50,4,4,2400.68,0,588,3,2
68554,22258,0,49,6,1,1050.0,0,106,3,1
85900,51961,0,52,5,5,58.65,0,92,5,3
8765,83867,1,54,1,1,300.08,0,180,4,0
49605,48188,1,19,2,3,121.98,1,334,1,1
40665,6661,0,49,2,5,203.3,2,613,5,2
11464,34919,0,44,2,4,162.64,1,621,5,2
41923,45431,1,69,3,4,20.92,1,765,7,2
12082,86356,0,41,1,5,1500.4,2,720,4,0
5217,60797,0,25,7,2,71.68,0,791,8,0
72779,76923,0,51,4,4,2400.68,0,105,3,3
91657,77590,0,53,4,1,600.17,0,329,5,3
4849,29154,0,20,1,3,900.24,1,25,1,2
71255,99292,0,30,2,3,121.98,2,222,5,3
16818,42773,0,47,2,1,40.66,0,787,8,2
47195,14368,1,40,4,4,2400.68,1,554,1,2
70797,44193,0,35,1,3,900.24,1,776,6,1
